Sl.No,Assessment Date,Person ID,Verbal,Thinking,Programming,CD,CDP,Coding1,Coding2,RP Score
1,2020-05-31,46329,8,4,12,24,60,100,100,73
2,2020-05-31,46343,5,5,9,19,47.5,0,0,64
3,2020-05-31,46310,6,2,1,9,22.5,0,0,83
4,2020-05-31,46327,9,6,7,22,55,0,0,93
5,2020-05-31,46308,6,1,3,10,25,0,0,52
6,2020-05-31,46346,7,0,3,10,25,0,0,83
7,2020-05-31,46309,6,3,6,15,37.5,0,0,92
8,2020-05-31,46358,8,3,7,18,45,0,0,95
9,2020-05-31,46349,7,8,7,22,55,0,0,52
10,2020-05-31,46345,5,3,6,14,35,100,100,30
11,2020-05-31,46311,6,2,6,14,35,0,0,90
12,2020-05-31,46333,5,1,5,11,27.5,0,0,80
13,2020-05-31,46350,6,3,4,13,32.5,0,0,91
14,2020-05-31,46319,8,4,8,20,50,0,0,67
15,2020-05-31,46317,8,3,1,12,30,0,0,0
16,2020-05-31,46361,6,1,8,15,37.5,0,0,83
17,2020-05-31,46335,8,2,10,20,50,48.3,48.3,82
18,2020-05-31,46342,7,2,2,11,27.5,51.7,51.7,36
19,2020-05-31,46351,4,5,7,16,40,0,0,0
20,2020-05-31,46359,10,4,6,20,50,0,0,93
21,2020-05-31,46330,4,5,6,15,37.5,0,0,78
22,2020-05-31,46344,8,2,2,12,30,0,0,84
23,2020-05-31,46320,7,3,6,16,40,0,0,89
24,2020-05-31,46328,6,0,5,11,27.5,0,0,79
25,2020-05-31,46312,4,2,4,10,25,0,0,73
26,2020-05-31,46315,8,6,4,18,45,0,0,69
27,2020-05-31,46321,6,5,2,13,32.5,0,0,54
28,2020-05-31,46336,8,3,4,15,37.5,0,0,86
29,2020-05-31,46306,8,4,5,17,42.5,0,0,45
30,2020-05-31,46337,5,1,6,12,30,0,0,86
31,2020-05-31,46334,5,4,4,13,32.5,0,0,92
32,2020-05-31,46340,6,2,6,14,35,0,0,0
33,2020-05-31,46355,7,4,7,18,45,0,0,11
34,2020-05-31,46326,5,0,7,12,30,0,0,100
35,2020-05-31,46339,7,2,8,17,42.5,0,0,88
36,2020-05-31,46341,5,1,9,15,37.5,0,0,93
37,2020-05-31,46322,6,2,4,12,30,0,0,88
38,2020-05-31,46313,6,3,8,17,42.5,100,100,43
39,2020-05-31,46357,4,4,5,13,32.5,0,0,71
40,2020-05-31,46338,5,4,10,19,47.5,0,0,53
41,2020-05-31,46331,6,6,7,19,47.5,0,0,92
42,2020-05-31,46348,4,3,4,11,27.5,0,0,0
43,2020-05-31,46314,6,5,4,15,37.5,0,0,52
44,2020-05-31,46323,4,2,10,16,40,100,100,89
45,2020-05-31,46316,5,2,5,12,30,0,0,76
46,2020-05-31,46332,5,2,5,12,30,0,0,66
47,2020-05-31,46304,5,4,4,13,32.5,0,0,0
48,2020-05-31,46305,4,2,3,9,22.5,0,0,81
49,2020-05-31,46356,5,1,6,12,30,0,0,92
50,2020-05-31,46362,7,6,9,22,55,0,0,87
51,2020-05-31,46353,8,1,3,12,30,0,0,85
52,2020-05-31,46347,6,4,8,18,45,0,0,80
53,2020-05-31,46360,1,2,6,9,22.5,0,0,66
54,2020-05-31,46324,8,0,4,12,30,0,0,89
55,2020-05-31,46318,5,3,3,11,27.5,0,0,78
56,2020-05-31,46354,6,6,5,17,42.5,0,0,91
57,2020-05-31,46307,6,7,4,17,42.5,0,0,95
58,2020-05-31,46352,8,1,5,14,35,0,0,42
59,2020-06-14,46331,9,3,12,24,60,0,0,99
60,2020-06-14,46363,10,2,12,24,60,40,40,84
61,2020-06-14,46426,5,3,6,14,35,20,20,74
