rollno,CourseName,sectioname,AvgTimeSpentInHours
DLPJ0418CL030024,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,4.2
DLPJ0418CL030024,IT Foundation Skills,DLPJP18CLDB4_Foundation,17.6
DLPJ0418CL030024,Life Skills,Business Communication - Cloud Stream,0.6
DLPJ0418CL030024,PJP  Webinar,DLPJ0418Cloud_Webinar,0.5
DLPJ0418CL030024,Testing Concepts.,DLPJP18CLDB4_Testing,1.9
DLPJ0418CL030024,UNIX,DLPJP18CLDB4_Unix,17.6
DLPJ0418CL030025,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,5.4
DLPJ0418CL030025,IT Foundation Skills,DLPJP18CLDB4_Foundation,15.5
DLPJ0418CL030025,Life Skills,Business Communication - Cloud Stream,1
DLPJ0418CL030025,PJP  Webinar,DLPJ0418Cloud_Webinar,0.5
DLPJ0418CL030025,Testing Concepts.,DLPJP18CLDB4_Testing,1.9
DLPJ0418CL030025,UNIX,DLPJP18CLDB4_Unix,12.9
DLPJ0418CL030026,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,3.9
DLPJ0418CL030026,IT Foundation Skills,DLPJP18CLDB4_Foundation,16.3
DLPJ0418CL030026,Life Skills,Business Communication - Cloud Stream,1.6
DLPJ0418CL030026,PJP  Webinar,DLPJ0418Cloud_Webinar,0.8
DLPJ0418CL030026,Testing Concepts.,DLPJP18CLDB4_Testing,1.6
DLPJ0418CL030026,UNIX,DLPJP18CLDB4_Unix,11.1
DLPJ0418CL030027,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,4.1
DLPJ0418CL030027,IT Foundation Skills,DLPJP18CLDB4_Foundation,16
DLPJ0418CL030027,Life Skills,Business Communication - Cloud Stream,3.5
DLPJ0418CL030027,PJP  Webinar,DLPJ0418Cloud_Webinar,1.9
DLPJ0418CL030027,Testing Concepts.,DLPJP18CLDB4_Testing,1.2
DLPJ0418CL030027,UNIX,DLPJP18CLDB4_Unix,8.7
DLPJ0418CL030028,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,5.9
DLPJ0418CL030028,IT Foundation Skills,DLPJP18CLDB4_Foundation,14.1
DLPJ0418CL030028,Life Skills,Business Communication - Cloud Stream,1.5
DLPJ0418CL030028,PJP  Webinar,DLPJ0418Cloud_Webinar,0.8
DLPJ0418CL030028,Testing Concepts.,DLPJP18CLDB4_Testing,2
DLPJ0418CL030028,UNIX,DLPJP18CLDB4_Unix,12.2
DLPJ0418CL030029,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,5.7
DLPJ0418CL030029,IT Foundation Skills,DLPJP18CLDB4_Foundation,23.3
DLPJ0418CL030029,Life Skills,Business Communication - Cloud Stream,2.3
DLPJ0418CL030029,PJP  Webinar,DLPJ0418Cloud_Webinar,0.1
DLPJ0418CL030029,Testing Concepts.,DLPJP18CLDB4_Testing,1.6
DLPJ0418CL030029,UNIX,DLPJP18CLDB4_Unix,13.3
DLPJ0418CL030030,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,12.1
DLPJ0418CL030030,IT Foundation Skills,DLPJP18CLDB4_Foundation,17.5
DLPJ0418CL030030,Life Skills,Business Communication - Cloud Stream,1.9
DLPJ0418CL030030,PJP  Webinar,DLPJ0418Cloud_Webinar,0
DLPJ0418CL030030,Testing Concepts.,DLPJP18CLDB4_Testing,4.8
DLPJ0418CL030030,UNIX,DLPJP18CLDB4_Unix,19.9
DLPJ0418CL030031,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,7.6
DLPJ0418CL030031,IT Foundation Skills,DLPJP18CLDB4_Foundation,12.9
DLPJ0418CL030031,Life Skills,Business Communication - Cloud Stream,2.5
DLPJ0418CL030031,PJP  Webinar,DLPJ0418Cloud_Webinar,0
DLPJ0418CL030031,Testing Concepts.,DLPJP18CLDB4_Testing,3.1
DLPJ0418CL030031,UNIX,DLPJP18CLDB4_Unix,19.2
DLPJ0418CL030032,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,2.3
DLPJ0418CL030032,IT Foundation Skills,DLPJP18CLDB4_Foundation,6.9
DLPJ0418CL030032,Life Skills,Business Communication - Cloud Stream,1.4
DLPJ0418CL030032,PJP  Webinar,DLPJ0418Cloud_Webinar,0.1
DLPJ0418CL030032,Testing Concepts.,DLPJP18CLDB4_Testing,2.6
DLPJ0418CL030032,UNIX,DLPJP18CLDB4_Unix,12.5
DLPJ0418CL030033,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,1.9
DLPJ0418CL030033,IT Foundation Skills,DLPJP18CLDB4_Foundation,6.3
DLPJ0418CL030033,Life Skills,Business Communication - Cloud Stream,1
DLPJ0418CL030033,PJP  Webinar,DLPJ0418Cloud_Webinar,1.1
DLPJ0418CL030033,Testing Concepts.,DLPJP18CLDB4_Testing,1.1
DLPJ0418CL030033,UNIX,DLPJP18CLDB4_Unix,9.9
DLPJ0418CL030034,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,4.5
DLPJ0418CL030034,IT Foundation Skills,DLPJP18CLDB4_Foundation,7.3
DLPJ0418CL030034,Life Skills,Business Communication - Cloud Stream,1.4
DLPJ0418CL030034,PJP  Webinar,DLPJ0418Cloud_Webinar,0.1
DLPJ0418CL030034,Testing Concepts.,DLPJP18CLDB4_Testing,1.9
DLPJ0418CL030034,UNIX,DLPJP18CLDB4_Unix,17
DLPJ0418CL030035,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,1.4
DLPJ0418CL030035,IT Foundation Skills,DLPJP18CLDB4_Foundation,14.6
DLPJ0418CL030035,Life Skills,Business Communication - Cloud Stream,1
DLPJ0418CL030035,Testing Concepts.,DLPJP18CLDB4_Testing,2.1
DLPJ0418CL030035,UNIX,DLPJP18CLDB4_Unix,12.6
DLPJ0418CL030036,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,2.9
DLPJ0418CL030036,IT Foundation Skills,DLPJP18CLDB4_Foundation,13.3
DLPJ0418CL030036,Life Skills,Business Communication - Cloud Stream,1.9
DLPJ0418CL030036,Testing Concepts.,DLPJP18CLDB4_Testing,1.1
DLPJ0418CL030036,UNIX,DLPJP18CLDB4_Unix,10.8
DLPJ0418CL030037,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,4.9
DLPJ0418CL030037,IT Foundation Skills,DLPJP18CLDB4_Foundation,16.6
DLPJ0418CL030037,Life Skills,Business Communication - Cloud Stream,1.4
DLPJ0418CL030037,PJP  Webinar,DLPJ0418Cloud_Webinar,0.1
DLPJ0418CL030037,Testing Concepts.,DLPJP18CLDB4_Testing,2.4
DLPJ0418CL030037,UNIX,DLPJP18CLDB4_Unix,8.7
DLPJ0418CL030038,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,6.4
DLPJ0418CL030038,IT Foundation Skills,DLPJP18CLDB4_Foundation,15
DLPJ0418CL030038,Life Skills,Business Communication - Cloud Stream,2
DLPJ0418CL030038,PJP  Webinar,DLPJ0418Cloud_Webinar,0.2
DLPJ0418CL030038,Testing Concepts.,DLPJP18CLDB4_Testing,0.7
DLPJ0418CL030038,UNIX,DLPJP18CLDB4_Unix,13.5
DLPJ0418CL030039,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,0.9
DLPJ0418CL030039,IT Foundation Skills,DLPJP18CLDB4_Foundation,8.3
DLPJ0418CL030039,Life Skills,Business Communication - Cloud Stream,1.8
DLPJ0418CL030039,PJP  Webinar,DLPJ0418Cloud_Webinar,0.3
DLPJ0418CL030039,Testing Concepts.,DLPJP18CLDB4_Testing,0.4
DLPJ0418CL030039,UNIX,DLPJP18CLDB4_Unix,3.3
DLPJ0418CL030040,Basics  of Cloud Computing,DLPJP18CLDB4_Cloud Computing,3.8
